Event,Result,WhiteElo,BlackElo,ECO,Opening,TimeControl,Termination,white_material,black_material,material_diff,white_pieces_attacked,white_attacked_value,black_pieces_attacked,black_attacked_value,attacked_diff,white_center_pieces,black_center_pieces,white_center_control,black_center_control,center_control_diff,white_extended_control,black_extended_control,extended_control_diff,white_can_castle_kingside,white_can_castle_queenside,black_can_castle_kingside,black_can_castle_queenside,white_has_castled,black_has_castled,white_castling_rights_count,black_castling_rights_count,white_mobility,black_mobility,mobility_diff,white_weighted_mobility,black_weighted_mobility,weighted_mobility_diff,position_advantage,center_advantage,aggression,pawn_structure,pieces_protected,degrees_of_freedom,opponent_aggression,queen_position,knight_position,bishop_position,rook_position,pawn_position,dof_x_material
Blitz,1,2045,2126,B56,Sicilian Defense: Classical Variation,300+0,Normal,38,38,0,3,7,4,8,1,1,1,3,3,0,12,11,1,0,0,0,0,0,1,0,0,45,42,3,195.0,0.0,195.0,-1,1,1,-2,-2,3,3,4,0,-1,2,0,3306.0
Blitz,1,1576,1588,A00,Hungarian Opening: Dutch Defense,180+0,Normal,38,37,1,1,1,3,5,4,0,1,4,3,1,14,9,5,0,0,0,0,1,1,0,0,46,33,13,185.0,0.0,185.0,6,5,2,0,0,13,5,5,0,1,0,0,2969.0
Blitz,1,2315,2282,E00,Catalan Opening,180+0,Normal,38,38,0,4,6,3,5,-1,1,2,4,4,0,10,10,0,0,0,0,0,1,1,0,0,40,38,2,142.0,0.0,142.0,-4,0,-1,0,-1,2,-3,0,2,-2,-3,0,2964.0
Blitz,1,1935,1988,A48,East Indian Defense,180+0,Normal,32,31,1,2,2,0,0,-2,1,0,4,2,2,11,8,3,1,1,0,0,0,0,2,0,46,39,7,182.0,0.0,182.0,3,3,-2,0,0,7,4,0,12,-6,1,2,2681.0
Blitz,-1,1885,1851,D00,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit",180+0,Normal,32,32,0,2,2,2,2,0,1,1,3,4,-1,10,12,-2,0,0,0,0,1,1,0,0,45,38,7,173.0,0.0,173.0,-4,-2,0,-1,-1,7,-3,-5,-10,11,0,-1,2656.0
Blitz,-1,1654,1701,A46,Indian Defense: London System,180+0,Normal,33,33,0,2,2,3,3,1,2,1,3,3,0,12,10,2,1,1,0,0,0,1,2,0,41,36,5,149.0,0.0,149.0,-1,2,1,1,-1,5,-1,-3,0,1,3,1,2541.0
Blitz,1,1816,1829,C30,King's Gambit Declined: Queen's Knight Defense,180+0,Normal,35,35,0,4,8,4,8,0,0,2,4,2,2,13,12,1,0,0,0,0,1,1,0,0,39,37,2,163.0,0.0,163.0,5,1,0,1,1,2,2,2,6,-3,0,0,2660.0
Blitz,-1,2040,1995,D00,Queen's Pawn Game: Accelerated London System,180+0,Normal,32,32,0,1,1,1,1,0,2,1,4,3,1,9,10,-1,0,0,0,0,1,0,0,0,28,34,-6,89.0,0.0,89.0,-2,-1,0,1,0,-6,3,-5,0,-1,-1,1,1984.0
Blitz,1,1559,1562,A00,Polish Opening: King's Indian Variation,180+0,Normal,36,33,3,5,5,2,2,-3,1,1,4,4,0,12,12,0,0,0,0,0,1,1,0,0,37,42,-5,152.0,0.0,152.0,-2,0,-3,0,2,-5,0,-3,8,-2,2,0,2718.0
Blitz,-1,1743,1758,C46,Three Knights Opening,180+0,Normal,32,33,-1,1,5,3,7,2,0,2,3,3,0,11,12,-1,0,0,1,0,0,0,0,1,44,35,9,185.0,0.0,185.0,4,-1,2,1,2,9,0,5,8,-5,4,-2,2563.0
Blitz,1,2078,2057,B00,"Nimzowitsch Defense: Kennedy Variation, Main Line",180+0,Normal,32,31,1,5,8,3,5,-3,1,2,3,4,-1,11,14,-3,0,0,0,0,1,1,0,0,4,36,-32,23.0,0.0,23.0,0,-3,-2,0,-1,-32,0,-1,8,-1,4,2,1244.0
Blitz,1,1443,1469,C45,Scotch Game,180+0,Normal,26,29,-3,1,1,3,3,2,0,0,2,3,-1,11,10,1,0,0,0,0,1,1,0,0,41,34,7,199.0,0.0,199.0,-2,1,2,-4,-3,7,2,0,0,2,6,-6,2052.0
Blitz,-1,1659,1629,A40,Englund Gambit: Hartlaub-Charlick Gambit,300+0,Normal,20,19,1,0,0,1,1,1,1,1,3,2,1,9,7,2,0,0,1,1,1,0,0,2,28,23,5,75.0,0.0,75.0,2,2,1,-1,0,5,2,0,0,2,4,2,997.0
Blitz,-1,1940,1926,B02,Alekhine Defense: Scandinavian Variation,180+0,Normal,31,34,-3,5,9,2,2,-7,1,1,4,3,1,12,10,2,1,1,1,1,0,0,2,2,33,47,-14,167.0,0.0,167.0,-5,2,-3,3,3,-14,-7,3,-6,-3,0,0,2621.0
Blitz,0,1809,1789,B01,Scandinavian Defense: Valencian Variation,180+0,Normal,37,36,1,1,1,2,4,3,0,0,2,4,-2,11,10,1,0,0,0,0,1,0,0,0,44,36,8,164.0,0.0,164.0,5,1,1,3,3,8,2,2,0,0,-1,2,2924.0
Blitz,1,1436,1504,B40,Sicilian Defense: French Variation,180+0,Normal,34,35,-1,4,8,1,1,-7,0,2,2,3,-1,8,13,-5,0,0,0,0,1,1,0,0,33,43,-10,96.0,0.0,96.0,-5,-5,-3,-1,2,-10,-6,-10,5,4,-3,-2,2627.0
Blitz,1,2047,2036,E61,King's Indian Defense: Smyslov Variation,180+0,Normal,38,38,0,3,3,2,4,1,1,1,4,4,0,13,12,1,0,0,0,0,1,1,0,0,41,37,4,157.0,0.0,157.0,4,1,-1,-1,0,4,3,2,2,1,-2,0,2964.0
Blitz,1,1858,1879,B33,Sicilian Defense: Lasker-Pelikan Variation,180+0,Normal,35,35,0,6,10,3,5,-5,1,2,4,3,1,10,11,-1,0,0,0,0,0,0,0,0,38,54,-16,170.0,0.0,170.0,-6,-1,-3,4,5,-16,-10,2,4,-8,-8,0,3220.0
Blitz,-1,1819,1819,A10,English Opening,180+0,Normal,38,38,0,3,5,3,5,0,2,1,2,4,-2,13,10,3,0,0,0,0,1,1,0,0,46,27,19,186.0,0.0,186.0,6,3,0,-2,-3,19,7,5,-5,5,2,0,2774.0
Blitz,1,1835,1923,D06,Queen's Gambit Declined: Baltic Defense,180+0,Normal,32,32,0,4,6,3,5,-1,1,0,3,3,0,11,10,1,0,0,0,0,1,1,0,0,38,35,3,192.0,0.0,192.0,3,1,-1,1,1,3,2,4,-3,5,-2,0,2336.0
Blitz,-1,2065,2108,C25,Vienna Game: Max Lange Defense,180+0,Normal,35,36,-1,3,5,3,3,-2,0,2,3,2,1,9,13,-4,1,1,0,0,0,1,2,0,33,40,-7,145.0,0.0,145.0,-5,-4,0,1,-1,-7,-6,-2,3,-7,2,-2,2595.0
Blitz,-1,2117,2126,B06,Modern Defense: Three Pawns Attack,180+0,Normal,23,25,-2,2,2,2,2,0,1,0,2,2,0,10,8,2,0,0,1,1,1,0,0,2,32,28,4,87.0,0.0,87.0,1,2,0,-1,-1,4,1,0,2,6,-2,-5,1436.0
Blitz,1,2042,2063,A40,English Defense,300+0,Normal,39,39,0,2,2,1,1,-1,2,0,4,3,1,12,9,3,0,0,1,1,0,0,0,2,29,40,-11,96.0,0.0,96.0,0,3,-1,1,3,-11,1,-1,-2,2,-1,0,2691.0
Blitz,1,1748,1710,B08,"Pirc Defense: Classical Variation, Schlechter Variation",300+3,Normal,34,34,0,2,12,5,17,5,0,0,3,2,1,13,9,4,0,0,0,0,1,0,0,0,53,31,22,260.0,0.0,260.0,11,4,3,-2,-3,22,10,13,-2,9,0,0,2856.0
Blitz,-1,1429,1425,D00,Queen's Pawn Game: Accelerated London System,300+3,Normal,33,33,0,2,4,3,5,1,1,1,3,3,0,12,11,1,0,0,0,0,1,1,0,0,38,38,0,168.0,0.0,168.0,-3,1,1,-1,-1,0,0,-6,0,0,5,0,2508.0
Blitz,-1,1518,1518,C20,King's Pawn Game: Napoleon Attack,300+0,Normal,36,38,-2,2,4,3,5,1,1,1,4,3,1,12,12,0,0,0,0,0,1,1,0,0,40,30,10,162.0,0.0,162.0,4,0,1,1,1,10,3,-1,5,-6,7,2,2580.0
Blitz,1,2425,2246,B12,"Caro-Kann Defense: Advance Variation, Tal Variation",300+0,Normal,31,31,0,2,2,1,3,1,1,1,3,4,-1,10,12,-2,0,0,0,0,1,0,0,0,42,40,2,192.0,0.0,192.0,0,-2,-1,1,0,2,4,2,-6,11,2,0,2542.0
Blitz,1,1714,1696,D02,Queen's Pawn Game: London System,300+0,Normal,29,30,-1,1,1,3,5,4,0,2,3,3,0,9,12,-3,0,0,0,0,1,1,0,0,35,35,0,158.0,0.0,158.0,1,-3,2,-1,-2,0,1,-1,-8,6,-1,-2,2065.0
Blitz,1,1438,1405,B27,Sicilian Defense: Jalalabad Variation,300+0,Normal,31,30,1,3,4,1,3,-1,0,1,2,3,-1,8,10,-2,0,0,0,0,0,1,0,0,4,42,-38,4.0,0.0,4.0,-4,-2,-2,1,1,-38,-6,-11,-3,4,0,2,1384.0
Blitz,1,1641,1632,B20,Sicilian Defense: Bowdler Attack,300+0,Normal,31,31,0,3,3,1,1,-2,1,1,2,3,-1,10,11,-1,0,0,0,0,1,1,0,0,33,37,-4,135.0,0.0,135.0,-4,-1,-2,0,0,-4,-3,-3,3,-7,3,0,2170.0
Blitz,-1,2283,2271,A06,Zukertort Opening,180+0,Normal,32,31,1,2,4,2,4,0,1,1,3,4,-1,10,11,-1,0,0,0,0,0,1,0,0,35,41,-6,137.0,0.0,137.0,-7,-1,0,-2,-3,-6,0,0,-8,4,-4,2,2391.0
Blitz,-1,1796,1821,C02,French Defense: Advance Variation,180+0,Normal,33,35,-2,5,9,3,7,-2,0,2,2,4,-2,8,13,-5,0,0,1,1,1,0,0,2,33,40,-7,134.0,0.0,134.0,-3,-5,-2,-2,-1,-7,-4,-2,-2,3,1,-4,2489.0
Blitz,1,2342,2374,A15,"English Opening: Anglo-Indian Defense, Anti-Anti-Grünfeld",180+2,Normal,22,22,0,0,0,1,1,1,0,0,2,2,0,7,7,0,0,0,0,0,0,1,0,0,25,26,-1,56.0,0.0,56.0,4,0,1,0,2,-1,0,0,-3,8,-4,0,1122.0
Blitz,1,1977,1953,B21,Sicilian Defense: Smith-Morra Gambit Accepted,180+2,Normal,24,26,-2,2,2,0,0,-2,0,0,3,4,-1,9,11,-2,0,0,0,0,0,0,0,0,29,47,-18,84.0,0.0,84.0,-2,-2,-2,2,3,-18,-4,0,-6,2,-7,2,1918.0
Blitz,-1,1651,1552,C45,Scotch Game,180+2,Normal,31,32,-1,2,4,1,1,-3,1,1,3,2,1,11,11,0,0,0,0,0,1,1,0,0,34,39,-5,127.0,0.0,127.0,2,0,-1,1,1,-5,4,-1,-8,12,-6,-1,2302.0
Blitz,1,1799,1735,C24,Bishop's Opening: Berlin Defense,180+2,Normal,36,34,2,5,7,3,7,0,1,1,3,3,0,12,11,1,0,0,0,0,1,1,0,0,35,44,-9,122.0,0.0,122.0,-2,1,-2,3,4,-9,-2,-1,-6,3,-8,4,2756.0
Blitz,1,1994,2013,C56,"Italian Game: Scotch Gambit, Max Lange Attack",180+2,Normal,26,26,0,1,1,1,1,0,1,1,3,3,0,11,8,3,0,0,0,0,1,1,0,0,41,31,10,224.0,0.0,224.0,2,3,0,-1,-1,10,4,6,0,0,1,0,1872.0
Blitz,-1,1838,1827,C51,"Italian Game: Evans Gambit, Anderssen Variation",180+2,Normal,33,34,-1,1,1,3,3,2,2,0,4,3,1,11,9,2,0,0,0,0,1,0,0,0,48,34,14,201.0,0.0,201.0,6,2,2,0,-1,14,9,2,8,-2,8,-1,2740.0
Blitz,-1,1779,1958,A20,English Opening: King's English Variation,300+4,Normal,33,34,-1,3,3,2,4,1,1,1,4,4,0,11,11,0,0,0,0,0,0,1,0,0,37,47,-10,157.0,0.0,157.0,-3,0,-1,-1,0,-10,-3,-1,2,-4,-3,-2,2819.0
Blitz,1,1975,1947,B01,Scandinavian Defense: Modern Variation,180+0,Normal,34,35,-1,1,1,2,4,3,2,1,2,2,0,12,10,2,0,0,0,0,1,1,0,0,46,35,11,203.0,0.0,203.0,8,2,1,0,0,11,7,5,0,2,2,-2,2789.0
Blitz,1,1919,1928,B21,Sicilian Defense: McDonnell Attack,180+0,Normal,31,31,0,2,2,2,4,2,1,0,3,3,0,13,9,4,0,0,0,0,1,1,0,0,47,40,7,194.0,0.0,194.0,5,4,0,0,0,7,5,-1,-6,11,-1,0,2697.0
Blitz,0,1765,1764,C46,Three Knights Opening: Winawer Defense,180+0,Normal,23,29,-6,4,6,2,12,6,1,2,2,3,-1,9,12,-3,0,0,0,0,1,1,0,0,27,52,-25,62.0,0.0,62.0,-9,-3,-2,2,1,-25,-7,-21,0,-2,-7,6,2129.0
Blitz,-1,1526,1466,B01,Scandinavian Defense,180+0,Normal,30,29,1,4,3,2,6,3,1,1,3,1,2,11,12,-1,1,1,0,0,0,1,2,0,2,39,-37,0.0,0.0,0.0,-5,-1,-2,1,-1,-37,-2,-1,0,-3,-8,2,1191.0
Blitz,-1,1818,1819,C25,Vienna Game: Max Lange Defense,180+0,Normal,32,32,0,2,4,4,4,0,2,1,2,1,1,10,10,0,0,0,0,0,1,1,0,0,49,39,10,221.0,0.0,221.0,4,0,2,0,-1,10,6,1,-3,6,4,0,2816.0
Blitz,-1,2086,2083,A05,King's Indian Attack: Symmetrical Defense,180+0,Normal,39,38,1,1,1,4,4,3,0,2,2,3,-1,10,12,-2,0,0,0,0,1,1,0,0,36,35,1,138.0,0.0,138.0,1,-2,3,0,-1,1,2,2,-7,2,-2,2,2734.0
Blitz,1,2151,2113,A45,Indian Defense,180+0,Normal,35,35,0,3,5,2,2,-3,0,1,3,2,1,11,12,-1,0,0,0,0,1,1,0,0,40,40,0,145.0,0.0,145.0,-4,-1,-1,-1,-1,0,-3,0,-2,4,-3,0,2800.0
Blitz,-1,1462,1458,A00,"Grob Opening: Grob Gambit, Fritz Gambit",180+0,Normal,37,37,0,2,4,3,3,-1,0,0,3,3,0,11,12,-1,0,0,0,0,1,1,0,0,35,41,-6,103.0,0.0,103.0,-7,-1,1,0,0,-6,-4,-5,1,-2,-2,0,2812.0
Blitz,1,1500,1352,B06,Modern Defense: Two Knights Variation,300+3,Normal,26,26,0,4,6,1,1,-5,1,0,3,3,0,11,10,1,0,0,0,0,1,1,0,0,39,35,4,115.0,0.0,115.0,1,1,-3,-1,-2,4,4,0,-6,9,4,0,1924.0
Blitz,-1,1531,1553,C44,Scotch Game: Scotch Gambit,300+3,Normal,33,35,-2,5,8,4,4,-4,1,2,3,4,-1,12,14,-2,0,0,0,0,1,0,0,0,7,55,-48,20.0,0.0,20.0,-5,-2,-1,0,-1,-48,-3,-5,0,-1,-4,-4,2156.0
Blitz,1,1815,1807,C28,"Vienna Game: Stanley Variation, Three Knights Variation",300+3,Normal,35,35,0,3,5,1,1,-4,1,2,2,4,-2,10,11,-1,0,0,0,0,1,1,0,0,37,34,3,144.0,0.0,144.0,-3,-1,-2,0,0,3,-4,0,-2,0,0,0,2485.0
Blitz,-1,1859,1922,A40,Queen's Pawn Game: Modern Defense,180+2,Normal,38,38,0,2,4,3,5,1,0,2,3,4,-1,9,13,-4,1,0,0,0,0,1,1,0,36,42,-6,118.0,0.0,118.0,-8,-4,1,-2,-2,-6,-7,-5,-8,3,-2,0,2964.0
Rapid,-1,1553,1509,B10,Caro-Kann Defense: Two Knights Attack,600+0,Normal,32,35,-3,2,2,2,2,0,0,1,3,4,-1,10,12,-2,0,0,0,0,1,1,0,0,32,31,1,120.0,0.0,120.0,-5,-2,0,0,-2,1,-2,3,-11,1,-1,0,2109.0
Rapid,1,1981,2054,A10,English Opening: Great Snake Variation,600+0,Normal,33,33,0,1,1,1,1,0,1,1,3,4,-1,11,10,1,0,0,0,0,0,1,0,0,35,24,11,161.0,0.0,161.0,4,1,0,-1,-3,11,4,6,-14,12,2,0,1947.0
Rapid,1,1683,1666,A00,Van't Kruijs Opening,600+0,Normal,33,33,0,2,2,4,6,4,0,1,3,2,1,9,10,-1,0,1,0,0,0,1,1,0,29,46,-17,90.0,0.0,90.0,-8,-1,2,0,0,-17,-6,-5,-5,3,-5,-5,2475.0
Rapid,1,1785,1717,C50,Italian Game: Giuoco Piano,600+0,Normal,33,33,0,0,0,0,0,0,1,1,3,3,0,8,10,-2,0,0,0,0,1,1,0,0,25,31,-6,96.0,0.0,96.0,-8,-2,0,0,-4,-6,-2,1,-8,0,-5,0,1848.0
Blitz,-1,2794,2654,C60,Ruy Lopez: Fianchetto Defense,180+0,Normal,35,35,0,3,5,3,3,-2,2,0,3,4,-1,12,12,0,0,0,0,0,1,0,0,0,35,32,3,135.0,0.0,135.0,1,0,0,0,2,3,1,3,2,0,-2,0,2345.0
Blitz,-1,2582,2590,A53,Old Indian Defense,180+0,Normal,35,35,0,2,4,2,4,0,0,0,3,3,0,11,12,-1,0,0,0,0,1,1,0,0,40,47,-7,161.0,0.0,161.0,-7,-1,0,0,0,-7,-5,3,0,-5,0,0,3045.0
Blitz,1,1701,1685,C41,Philidor Defense,180+0,Normal,25,24,1,2,4,1,3,-1,0,1,3,2,1,9,9,0,0,0,0,0,1,0,0,0,34,29,5,86.0,0.0,86.0,2,0,-1,1,-1,5,4,0,-5,5,-2,2,1546.0
Blitz,1,1725,1726,B23,Sicilian Defense: Grand Prix Attack,180+0,Normal,33,33,0,2,4,2,2,-2,1,0,4,3,1,12,11,1,0,0,0,0,1,1,0,0,37,35,2,152.0,0.0,152.0,1,1,0,1,0,2,1,1,4,-2,1,0,2376.0
Blitz,-1,2208,2246,C60,Ruy Lopez: Cozio Defense,180+0,Normal,36,36,0,5,7,1,1,-6,2,1,3,4,-1,11,10,1,1,1,1,1,0,0,2,2,40,27,13,142.0,0.0,142.0,4,1,-4,0,-2,13,3,3,-4,10,3,0,2412.0
Blitz,1,2550,2566,B41,"Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation",180+0,Normal,37,35,2,5,9,3,5,-4,2,0,3,4,-1,11,12,-1,0,0,1,1,1,0,0,2,40,49,-9,152.0,0.0,152.0,-1,-1,-2,0,2,-9,-3,-2,10,-1,-2,-1,3195.0
Blitz,-1,1782,1788,C44,Scotch Game: Scotch Gambit,180+0,Normal,35,34,1,2,2,2,4,2,1,1,4,3,1,12,11,1,0,0,0,0,1,1,0,0,33,43,-10,158.0,0.0,158.0,3,1,0,2,2,-10,1,1,-8,5,-3,2,2617.0
Blitz,-1,2123,2104,D31,Semi-Slav Defense: Accelerated Move Order,180+0,Normal,33,33,0,3,5,3,5,0,2,2,3,3,0,11,12,-1,0,0,0,0,1,1,0,0,35,35,0,131.0,0.0,131.0,1,-1,0,0,1,0,0,0,4,3,-10,0,2310.0
Blitz,-1,1585,1634,B00,Pirc Defense,180+0,Normal,32,35,-3,3,7,4,4,-3,1,0,2,3,-1,10,10,0,0,0,0,0,1,0,0,0,38,42,-4,157.0,0.0,157.0,-1,0,1,1,0,-4,3,3,2,-5,-2,1,2686.0
Blitz,1,2062,1986,B00,Pirc Defense,180+0,Normal,34,34,0,1,0,4,6,6,1,0,2,1,1,11,7,4,0,0,1,1,0,0,0,2,1,31,-30,0.0,0.0,0.0,5,4,3,-3,0,-30,-2,0,10,7,7,-5,1088.0
Blitz,1,1573,1581,A38,"English Opening: Symmetrical Variation, Duchamp Variation",180+2,Normal,37,37,0,2,2,2,4,2,0,1,4,4,0,11,11,0,0,0,0,0,1,1,0,0,38,42,-4,143.0,0.0,143.0,0,0,0,1,1,-4,0,-4,0,0,-3,1,2960.0
